epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.75058,0.76029,3.14794,1.19532,0.81817,0.81667,0.91559,0.70287,1.28766,0.85417,1.2,0,0,0
2,3.26638,1.16157,2.68119,1.52486,0.85652,0.81667,0.91221,0.70298,1.29162,0.85502,1.19759,1.16644e-06,1.16644e-06,1.16644e-06
3,3.71687,0.88805,2.4968,1.33658,0.78687,0.91598,0.93985,0.70576,1.29874,0.85944,1.19918,2.28575e-06,2.28575e-06,2.28575e-06
4,4.23702,1.19355,2.50166,1.5083,0.80113,0.90646,0.93822,0.70493,1.29499,0.86268,1.19634,3.35794e-06,3.35794e-06,3.35794e-06
5,4.863,1.0557,3.23026,1.48916,0.7926,0.9122,0.94079,0.70755,1.30072,0.86329,1.19903,4.38301e-06,4.38301e-06,4.38301e-06
6,5.71429,1.13623,2.98761,1.41396,0.79177,0.91245,0.94028,0.69879,1.30497,0.86815,1.19893,5.36095e-06,5.36095e-06,5.36095e-06
7,6.35688,1.15775,2.33492,1.46268,0.78859,0.91081,0.94001,0.69212,1.30216,0.86915,1.19678,6.29177e-06,6.29177e-06,6.29177e-06
8,6.97956,1.00829,2.24113,1.37114,0.78637,0.89932,0.94014,0.6907,1.30084,0.87252,1.19481,7.17546e-06,7.17546e-06,7.17546e-06
9,7.66526,1.06056,2.53894,1.38438,0.78655,0.8909,0.94086,0.68267,1.29582,0.87963,1.19229,8.01203e-06,8.01203e-06,8.01203e-06
10,8.29418,0.73098,2.34048,1.11396,0.78904,0.88198,0.94034,0.68209,1.30015,0.89084,1.19359,8.80148e-06,8.80148e-06,8.80148e-06
11,8.89963,0.8527,1.74007,1.30031,0.76486,0.85,0.91846,0.68228,1.29997,0.89411,1.19146,9.5438e-06,9.5438e-06,9.5438e-06
12,9.53218,0.87998,1.49242,1.39962,0.74692,0.85,0.91847,0.67279,1.31543,0.91108,1.19703,1.0239e-05,1.0239e-05,1.0239e-05
13,10.2143,0.76788,1.84264,1.23332,0.73067,0.85,0.92076,0.66966,1.32913,0.92286,1.20301,1.08871e-05,1.08871e-05,1.08871e-05
